index,floretion,x_coord,y_coord,oct
47624,10371681,242,178,47441141
47625,10371682,242,179,47441142
47626,10371684,243,179,47441144
47627,10371687,243,178,47441147
47628,10371705,242,176,47441171
47629,10371706,242,177,47441172
47630,10371708,243,177,47441174
47631,10371711,243,176,47441177
47632,10371721,240,180,47441211
47633,10371722,240,181,47441212
47634,10371724,241,181,47441214
47635,10371727,241,180,47441217
47636,10371729,240,182,47441221
47637,10371730,240,183,47441222
47638,10371732,241,183,47441224
47639,10371735,241,182,47441227
47640,10371745,242,182,47441241
47641,10371746,242,183,47441242
47642,10371748,243,183,47441244
47643,10371751,243,182,47441247
47644,10371769,242,180,47441271
47645,10371770,242,181,47441272
47646,10371772,243,181,47441274
47647,10371775,243,180,47441277
47648,10371849,244,180,47441411
47649,10371850,244,181,47441412
47650,10371852,245,181,47441414
47651,10371855,245,180,47441417
47652,10371857,244,182,47441421
47653,10371858,244,183,47441422
47654,10371860,245,183,47441424
47655,10371863,245,182,47441427
47656,10371873,246,182,47441441
47657,10371874,246,183,47441442
47658,10371876,247,183,47441444
47659,10371879,247,182,47441447
47660,10371897,246,180,47441471
47661,10371898,246,181,47441472
47662,10371900,247,181,47441474
47663,10371903,247,180,47441477
47664,10372041,244,176,47441711
47665,10372042,244,177,47441712
47666,10372044,245,177,47441714
47667,10372047,245,176,47441717
47668,10372049,244,178,47441721
47669,10372050,244,179,47441722
47670,10372052,245,179,47441724
47671,10372055,245,178,47441727
47672,10372065,246,178,47441741
47673,10372066,246,179,47441742
47674,10372068,247,179,47441744
47675,10372071,247,178,47441747
47676,10372089,246,176,47441771
47677,10372090,246,177,47441772
47678,10372092,247,177,47441774
47679,10372095,247,176,47441777
47680,10372169,240,184,47442111
47681,10372170,240,185,47442112
47682,10372172,241,185,47442114
47683,10372175,241,184,47442117
47684,10372177,240,186,47442121
47685,10372178,240,187,47442122
47686,10372180,241,187,47442124
47687,10372183,241,186,47442127
47688,10372193,242,186,47442141
47689,10372194,242,187,47442142
47690,10372196,243,187,47442144
47691,10372199,243,186,47442147
47692,10372217,242,184,47442171
47693,10372218,242,185,47442172
47694,10372220,243,185,47442174
47695,10372223,243,184,47442177
47696,10372233,240,188,47442211
47697,10372234,240,189,47442212
47698,10372236,241,189,47442214
47699,10372239,241,188,47442217
47700,10372241,240,190,47442221
47701,10372242,240,191,47442222
47702,10372244,241,191,47442224
47703,10372247,241,190,47442227
47704,10372257,242,190,47442241
47705,10372258,242,191,47442242
47706,10372260,243,191,47442244
47707,10372263,243,190,47442247
47708,10372281,242,188,47442271
47709,10372282,242,189,47442272
47710,10372284,243,189,47442274
47711,10372287,243,188,47442277
47712,10372361,244,188,47442411
47713,10372362,244,189,47442412
47714,10372364,245,189,47442414
47715,10372367,245,188,47442417
47716,10372369,244,190,47442421
47717,10372370,244,191,47442422
47718,10372372,245,191,47442424
47719,10372375,245,190,47442427
47720,10372385,246,190,47442441
47721,10372386,246,191,47442442
47722,10372388,247,191,47442444
47723,10372391,247,190,47442447
47724,10372409,246,188,47442471
47725,10372410,246,189,47442472
47726,10372412,247,189,47442474
47727,10372415,247,188,47442477
47728,10372553,244,184,47442711
47729,10372554,244,185,47442712
47730,10372556,245,185,47442714
47731,10372559,245,184,47442717
47732,10372561,244,186,47442721
47733,10372562,244,187,47442722
47734,10372564,245,187,47442724
47735,10372567,245,186,47442727
47736,10372577,246,186,47442741
47737,10372578,246,187,47442742
47738,10372580,247,187,47442744
47739,10372583,247,186,47442747
47740,10372601,246,184,47442771
47741,10372602,246,185,47442772
47742,10372604,247,185,47442774
47743,10372607,247,184,47442777
47744,10373193,248,184,47444111
47745,10373194,248,185,47444112
47746,10373196,249,185,47444114
47747,10373199,249,184,47444117
47748,10373201,248,186,47444121
47749,10373202,248,187,47444122
47750,10373204,249,187,47444124
47751,10373207,249,186,47444127
47752,10373217,250,186,47444141
47753,10373218,250,187,47444142
47754,10373220,251,187,47444144
47755,10373223,251,186,47444147
47756,10373241,250,184,47444171
47757,10373242,250,185,47444172
47758,10373244,251,185,47444174
47759,10373247,251,184,47444177
47760,10373257,248,188,47444211
47761,10373258,248,189,47444212
47762,10373260,249,189,47444214
47763,10373263,249,188,47444217
47764,10373265,248,190,47444221
47765,10373266,248,191,47444222
47766,10373268,249,191,47444224
47767,10373271,249,190,47444227
47768,10373281,250,190,47444241
47769,10373282,250,191,47444242
47770,10373284,251,191,47444244
47771,10373287,251,190,47444247
47772,10373305,250,188,47444271
47773,10373306,250,189,47444272
47774,10373308,251,189,47444274
47775,10373311,251,188,47444277
47776,10373385,252,188,47444411
47777,10373386,252,189,47444412
47778,10373388,253,189,47444414
47779,10373391,253,188,47444417
47780,10373393,252,190,47444421
47781,10373394,252,191,47444422
47782,10373396,253,191,47444424
47783,10373399,253,190,47444427
47784,10373409,254,190,47444441
47785,10373410,254,191,47444442
47786,10373412,255,191,47444444
47787,10373415,255,190,47444447
47788,10373433,254,188,47444471
47789,10373434,254,189,47444472
47790,10373436,255,189,47444474
47791,10373439,255,188,47444477
47792,10373577,252,184,47444711
47793,10373578,252,185,47444712
47794,10373580,253,185,47444714
47795,10373583,253,184,47444717
47796,10373585,252,186,47444721
47797,10373586,252,187,47444722
47798,10373588,253,187,47444724
47799,10373591,253,186,47444727
47800,10373601,254,186,47444741
47801,10373602,254,187,47444742
47802,10373604,255,187,47444744
47803,10373607,255,186,47444747
47804,10373625,254,184,47444771
47805,10373626,254,185,47444772
47806,10373628,255,185,47444774
47807,10373631,255,184,47444777
47808,10374729,248,176,47447111
47809,10374730,248,177,47447112
47810,10374732,249,177,47447114
47811,10374735,249,176,47447117
47812,10374737,248,178,47447121
47813,10374738,248,179,47447122
47814,10374740,249,179,47447124
47815,10374743,249,178,47447127
47816,10374753,250,178,47447141
47817,10374754,250,179,47447142
47818,10374756,251,179,47447144
47819,10374759,251,178,47447147
47820,10374777,250,176,47447171
47821,10374778,250,177,47447172
47822,10374780,251,177,47447174
47823,10374783,251,176,47447177
47824,10374793,248,180,47447211
47825,10374794,248,181,47447212
47826,10374796,249,181,47447214
47827,10374799,249,180,47447217
47828,10374801,248,182,47447221
47829,10374802,248,183,47447222
47830,10374804,249,183,47447224
47831,10374807,249,182,47447227
47832,10374817,250,182,47447241
47833,10374818,250,183,47447242
