index,floretion,x_coord,y_coord
517,16978,16,19
518,16980,17,19
519,16983,17,18
520,16993,18,18
521,16994,18,19
522,16996,19,19
523,16999,19,18
524,17017,18,16
525,17018,18,17
526,17020,19,17
527,17023,19,16
528,17033,16,20
529,17034,16,21
530,17036,17,21
531,17039,17,20
532,17041,16,22
533,17042,16,23
534,17044,17,23
535,17047,17,22
536,17057,18,22
537,17058,18,23
538,17060,19,23
539,17063,19,22
540,17081,18,20
541,17082,18,21
542,17084,19,21
543,17087,19,20
544,17161,20,20
545,17162,20,21
546,17164,21,21
547,17167,21,20
548,17169,20,22
549,17170,20,23
550,17172,21,23
551,17175,21,22
552,17185,22,22
553,17186,22,23
554,17188,23,23
555,17191,23,22
556,17209,22,20
557,17210,22,21
558,17212,23,21
559,17215,23,20
560,17353,20,16
561,17354,20,17
562,17356,21,17
563,17359,21,16
564,17361,20,18
565,17362,20,19
566,17364,21,19
567,17367,21,18
568,17377,22,18
569,17378,22,19
570,17380,23,19
571,17383,23,18
572,17401,22,16
573,17402,22,17
574,17404,23,17
575,17407,23,16
576,17481,16,24
577,17482,16,25
578,17484,17,25
579,17487,17,24
580,17489,16,26
581,17490,16,27
582,17492,17,27
583,17495,17,26
584,17505,18,26
585,17506,18,27
586,17508,19,27
587,17511,19,26
588,17529,18,24
589,17530,18,25
590,17532,19,25
591,17535,19,24
592,17545,16,28
593,17546,16,29
594,17548,17,29
595,17551,17,28
596,17553,16,30
597,17554,16,31
598,17556,17,31
599,17559,17,30
600,17569,18,30
601,17570,18,31
602,17572,19,31
603,17575,19,30
604,17593,18,28
605,17594,18,29
606,17596,19,29
607,17599,19,28
608,17673,20,28
609,17674,20,29
610,17676,21,29
611,17679,21,28
612,17681,20,30
613,17682,20,31
614,17684,21,31
615,17687,21,30
616,17697,22,30
617,17698,22,31
618,17700,23,31
619,17703,23,30
620,17721,22,28
621,17722,22,29
622,17724,23,29
623,17727,23,28
624,17865,20,24
625,17866,20,25
626,17868,21,25
627,17871,21,24
628,17873,20,26
629,17874,20,27
630,17876,21,27
631,17879,21,26
632,17889,22,26
633,17890,22,27
634,17892,23,27
635,17895,23,26
636,17913,22,24
637,17914,22,25
638,17916,23,25
639,17919,23,24
640,18505,24,24
641,18506,24,25
642,18508,25,25
643,18511,25,24
644,18513,24,26
645,18514,24,27
646,18516,25,27
647,18519,25,26
648,18529,26,26
649,18530,26,27
650,18532,27,27
651,18535,27,26
652,18553,26,24
653,18554,26,25
654,18556,27,25
655,18559,27,24
656,18569,24,28
657,18570,24,29
658,18572,25,29
659,18575,25,28
660,18577,24,30
661,18578,24,31
662,18580,25,31
663,18583,25,30
664,18593,26,30
665,18594,26,31
666,18596,27,31
667,18599,27,30
668,18617,26,28
669,18618,26,29
670,18620,27,29
671,18623,27,28
672,18697,28,28
673,18698,28,29
674,18700,29,29
675,18703,29,28
676,18705,28,30
677,18706,28,31
678,18708,29,31
679,18711,29,30
680,18721,30,30
681,18722,30,31
682,18724,31,31
683,18727,31,30
684,18745,30,28
685,18746,30,29
686,18748,31,29
687,18751,31,28
688,18889,28,24
689,18890,28,25
690,18892,29,25
691,18895,29,24
692,18897,28,26
693,18898,28,27
694,18900,29,27
695,18903,29,26
696,18913,30,26
697,18914,30,27
698,18916,31,27
699,18919,31,26
700,18937,30,24
701,18938,30,25
702,18940,31,25
703,18943,31,24
704,20041,24,16
705,20042,24,17
706,20044,25,17
707,20047,25,16
708,20049,24,18
709,20050,24,19
710,20052,25,19
711,20055,25,18
712,20065,26,18
713,20066,26,19
714,20068,27,19
715,20071,27,18
716,20089,26,16
717,20090,26,17
718,20092,27,17
719,20095,27,16
720,20105,24,20
721,20106,24,21
722,20108,25,21
723,20111,25,20
724,20113,24,22
725,20114,24,23
726,20116,25,23
727,20119,25,22
728,20129,26,22
729,20130,26,23
730,20132,27,23
731,20135,27,22
732,20153,26,20
733,20154,26,21
734,20156,27,21
735,20159,27,20
736,20233,28,20
737,20234,28,21
738,20236,29,21
739,20239,29,20
740,20241,28,22
741,20242,28,23
742,20244,29,23
743,20247,29,22
744,20257,30,22
745,20258,30,23
746,20260,31,23
747,20263,31,22
748,20281,30,20
749,20282,30,21
750,20284,31,21
751,20287,31,20
752,20425,28,16
753,20426,28,17
754,20428,29,17
755,20431,29,16
756,20433,28,18
757,20434,28,19
758,20436,29,19
759,20439,29,18
760,20449,30,18
761,20450,30,19
762,20452,31,19
763,20455,31,18
764,20473,30,16
765,20474,30,17
766,20476,31,17
767,20479,31,16
768,29257,16,0
769,29258,16,1
770,29260,17,1
771,29263,17,0
772,29265,16,2
773,29266,16,3
774,29268,17,3
775,29271,17,2
776,29281,18,2
777,29282,18,3
778,29284,19,3
779,29287,19,2
780,29305,18,0
781,29306,18,1
782,29308,19,1
783,29311,19,0
784,29321,16,4
785,29322,16,5
786,29324,17,5
787,29327,17,4
788,29329,16,6
789,29330,16,7
790,29332,17,7
791,29335,17,6
792,29345,18,6
793,29346,18,7
794,29348,19,7
795,29351,19,6
796,29369,18,4
797,29370,18,5
798,29372,19,5
799,29375,19,4
800,29449,20,4
801,29450,20,5
802,29452,21,5
803,29455,21,4
804,29457,20,6
805,29458,20,7
806,29460,21,7
807,29463,21,6
808,29473,22,6
809,29474,22,7
810,29476,23,7
811,29479,23,6
812,29497,22,4
813,29498,22,5
814,29500,23,5
815,29503,23,4
816,29641,20,0
817,29642,20,1
818,29644,21,1
819,29647,21,0
820,29649,20,2
821,29650,20,3
822,29652,21,3
823,29655,21,2
824,29665,22,2
825,29666,22,3
826,29668,23,3
827,29671,23,2
828,29689,22,0
829,29690,22,1
830,29692,23,1
831,29695,23,0
832,29769,16,8
833,29770,16,9
834,29772,17,9
835,29775,17,8
836,29777,16,10
837,29778,16,11
838,29780,17,11
839,29783,17,10
840,29793,18,10
841,29794,18,11
842,29796,19,11
